year,count_method,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,light_goods_vehicles,heavy_goods_vehicles,all_motor_vehicles,count_point_id
2011,Manual count,0,284,71546,255,13532,11574,97191,6051
2010,Manual count,0,254,82060,383,12223,12690,107610,6051
2009,Manual count,0,251,79166,215,12372,12001,104005,6051
2008,Manual count,0,318,82977,280,13307,13866,110748,6051
2007,Estimated using AADF from previous year on this link,0,197,83853,381,15749,12327,112507,6051
2006,Manual count,0,191,83271,337,14872,12493,111164,6051
2005,Estimated using AADF from previous year on this link,0,239,75190,208,10091,11364,97092,6051
2004,Manual count,0,237,75190,200,9750,11583,96960,6051
2003,Estimated using AADF from previous year on this link,0,381,65614,118,9983,10906,87002,6051
2002,Manual count,0,337,67227,114,9693,11369,88740,6051
2001,Manual count,0,386,70697,300,10971,11838,94192,6051
2000,Manual count,0,414,64180,504,10860,11983,87941,6051
2024,Manual count,0,221,108614,349,34336,17967,161487,6053
2023,Manual count,0,479,129307,213,35036,18996,184031,6053
2022,Manual count,0,119,125202,231,32575,21919,180047,6053
2021,Manual count,0,211,97930,154,33700,18938,150934,6053
2020,Manual count,0,170,87110,132,29125,17964,134501,6053
2019,Manual count,0,310,120693,427,32356,19683,173470,6053
2018,Estimated using AADF from previous year on this link,0,381,113741,253,28525,19400,162299,6053
2017,Manual count,0,383,114719,252,27650,19096,162099,6053
2016,Manual count,0,340,115854,304,24379,20153,161029,6053
2015,Manual count,0,378,115867,308,26040,19471,162063,6053
2014,Estimated using AADF from previous year on this link,0,349,119245,565,26179,19575,165913,6053
2013,Manual count,0,353,118220,534,23850,19066,162023,6053
2012,Manual count,0,386,124559,401,25472,17913,168732,6053
2011,Manual count,0,528,113955,471,26158,19658,160770,6053
2010,Manual count,0,465,122821,411,21809,23682,169188,6053
2009,Manual count,0,487,121385,478,23398,19837,165585,6053
2008,Manual count,0,445,108576,552,25204,24200,158977,6053
2007,Manual count,0,667,125254,402,26085,21737,174145,6053
2006,Manual count,0,586,117596,841,25099,20928,165050,6053
2005,Estimated using AADF from previous year on this link,0,314,114625,576,22098,20035,157648,6053
2004,Manual count,0,311,114625,554,21351,20402,157243,6053
2003,Estimated using AADF from previous year on this link,0,383,113130,715,20445,20602,155275,6053
2002,Manual count,0,339,115912,695,19849,21521,158316,6053
2001,Manual count,0,436,107400,577,17728,20413,146554,6053
2000,Manual count,0,414,106208,683,19071,23639,150015,6053
2024,Estimated using AADF from previous year on this link,0,134,71833,146,20808,18526,111448,6054
2023,Estimated using AADF from previous year on this link,0,136,71956,146,20206,18353,110797,6054
2022,Automatic counter,0,132,62119,161,22459,17950,102822,6054
2021,Dependent on a neighbouring counted link,0,115,53789,138,19373,17377,90792,6054
2020,Dependent on a neighbouring counted link,0,54,46034,54,15976,18176,80295,6054
2019,Automatic counter,0,152,73632,185,19180,18476,111625,6054
2018,Automatic counter,0,146,67418,171,17831,17094,102660,6054
2017,Automatic counter,0,147,68196,171,17335,16918,102767,6054
2016,Dependent on a neighbouring counted link,0,163,70404,180,16482,16807,104036,6054
2015,Estimated using AADF from previous year on this link,0,160,70762,203,15269,17178,103573,6054
2014,Manual count,0,164,70575,219,13722,16600,101281,6054
2013,Manual count,0,149,58407,225,13643,14818,87242,6054
2012,Manual count,0,159,62339,205,13427,14657,90787,6054
2011,Manual count,0,187,64468,212,14964,16429,96260,6054
2010,Manual count,0,148,61654,155,12948,15408,90313,6054
2009,Manual count,0,295,68229,238,13352,14412,96526,6054
2008,Manual count,0,202,63611,426,14084,15265,93588,6054
2007,Manual count,0,234,63999,277,12485,17053,94048,6054
2006,Manual count,0,157,61446,305,14541,14728,91177,6054
2005,Manual count,0,155,61152,244,12352,16376,90279,6054
2004,Manual count,0,145,60210,227,12451,18038,91071,6054
2003,Manual count,0,128,65358,222,12505,17391,95604,6054
2002,Manual count,0,186,60729,293,12031,15214,88453,6054
2001,Manual count,0,158,61925,315,11011,16223,89632,6054
2000,Manual count,0,130,58960,319,11241,15109,85759,6054
2024,Estimated using AADF from previous year on this link,0,197,86090,19,28969,22859,138133,6055
2023,Estimated using AADF from previous year on this link,0,199,86237,19,28131,22630,137215,6055
2022,Estimated using AADF from previous year on this link,0,205,83907,18,27239,23121,134490,6055
2021,Manual count,0,182,74027,15,23944,22795,120963,6055
2020,Automatic counter,0,97,62458,129,19598,24272,106553,6055
2019,Manual count,0,146,81383,199,19827,22483,124038,6055
2018,Automatic counter,0,269,81632,230,21123,18158,121412,6055
2017,Manual count,0,272,82775,230,20596,18024,121897,6055
2016,Manual count,0,218,86387,146,19121,19659,125531,6055
2015,Estimated using AADF from previous year on this link,0,314,79082,237,19786,20818,120237,6055
2014,Manual count,0,322,78872,256,17782,20073,117304,6055
2013,Manual count,0,344,64726,231,16264,16019,97584,6055
2012,Manual count,0,224,67453,221,15201,17162,100261,6055
2011,Manual count,0,252,65596,254,17433,16906,100441,6055
2010,Manual count,0,225,69941,142,15664,16450,102422,6055
2009,Manual count,0,389,71551,262,15330,16653,104185,6055
2008,Manual count,0,445,72963,248,16834,18687,109177,6055
2007,Manual count,0,194,78476,306,16835,17651,113462,6055
2006,Manual count,0,171,79150,387,14413,17932,112053,6055
2005,Manual count,0,144,72307,357,15150,18786,106744,6055
2004,Manual count,0,204,75043,342,17192,18527,111308,6055
2003,Manual count,0,181,66318,328,13305,17527,97659,6055
2002,Manual count,0,235,66858,301,12835,18436,98665,6055
2001,Manual count,0,20,67527,283,12570,16773,97173,6055
2000,Manual count,0,229,68722,282,11818,17436,98487,6055
2005,Manual count,0,105,46549,108,10217,15343,72322,6056
2004,Manual count,0,114,45596,190,9532,15173,70605,6056
2003,Estimated using AADF from previous year on this link,0,183,37218,143,8099,13978,59621,6056
2002,Manual count,0,162,38133,139,7863,14494,60791,6056
2001,Manual count,0,154,40894,143,8094,13433,62718,6056
2000,Manual count,0,138,41154,180,7684,13715,62871,6056
2024,Estimated using AADF from previous year on this link,0,43,11889,24,3716,2514,18187,6057
2023,Estimated using AADF from previous year on this link,0,44,11748,24,3651,2541,18008,6057
2022,Estimated using AADF from previous year on this link,0,47,11464,25,3580,2632,17747,6057
2021,Manual count,0,42,10681,23,3214,2556,16516,6057
2020,Estimated using AADF from previous year on this link,0,70,8922,29,2610,2060,13692,6057
2019,Estimated using AADF from previous year on this link,0,94,12218,46,3049,2290,17697,6057
2018,Estimated using AADF from previous year on this link,0,87,12191,46,3059,2286,17670,6057
2017,Manual count,0,90,12249,49,2921,2256,17566,6057
2016,Estimated using AADF from previous year on this link,0,43,11651,57,2600,1946,16296,6057
2015,Estimated using AADF from previous year on this link,0,43,11508,57,2408,1935,15951,6057
2014,Estimated using AADF from previous year on this link,0,43,11588,57,2211,1847,15746,6057
2013,Estimated using AADF from previous year on this link,0,40,11618,54,2124,1895,15731,6057
2012,Manual count,0,38,11644,55,2053,1916,15706,6057
2011,Estimated using AADF from previous year on this link,0,4,10055,49,2019,1783,13910,6057
2010,Manual count,0,4,10116,47,1966,1842,13975,6057
2009,Estimated using AADF from previous year on this link,0,27,10702,43,2020,2161,14953,6057
2008,Manual count,0,27,10735,41,2024,2349,15176,6057
2007,Estimated using AADF from previous year on this link,0,61,10536,53,2912,2397,15959,6057
2006,Estimated using AADF from previous year on this link,0,59,10453,48,2570,2267,15397,6057
2005,Estimated using AADF from previous year on this link,0,61,10453,44,2393,2197,15148,6057
2004,Estimated using AADF from previous year on this link,0,69,10390,44,2312,2250,15065,6057
2003,Estimated using AADF from previous year on this link,0,61,10380,51,2191,2204,14887,6057
2002,Estimated using AADF from previous year on this link,0,56,10247,57,1953,2208,14521,6057
2001,Manual count,0,54,10036,49,1863,2191,14193,6057
2000,Estimated using AADF from previous year on this link,1,25,9075,49,1578,2638,13365,6057
2024,Manual count,0,291,111434,236,20876,7285,140121,6058
2023,Manual count,0,164,98154,169,20540,7515,126542,6058
2022,Manual count,0,221,85540,173,19250,7931,113115,6058
2021,Estimated using AADF from previous year on this link,0,276,104236,65,29073,10389,144039,6058
2020,Manual count,0,270,91180,65,24872,9421,125809,6058
2019,Manual count,0,383,110847,257,20469,7972,139929,6058
2018,Manual count,0,185,93942,206,16815,8351,119499,6058
2017,Manual count,0,447,104451,141,18791,8305,132135,6058
2016,Manual count,0,303,110027,156,14242,8886,133615,6058
2015,Manual count,0,323,106191,164,17372,9121,133172,6058
2014,Manual count,0,326,93351,190,17654,8551,120073,6058
2013,Manual count,0,370,88409,183,13983,6675,109620,6058
2012,Estimated using AADF from previous year on this link,0,463,119592,379,15644,11771,147849,6058
2011,Manual count,0,507,121839,360,15260,11975,149941,6058
2010,Manual count,0,354,102937,292,12935,12131,128649,6058
2009,Manual count,0,390,112491,353,15616,10520,139370,6058
2008,Estimated using AADF from previous year on this link,0,338,103531,601,16636,9183,130289,6058
2007,Estimated using AADF from previous year on this link,0,320,105968,463,16246,9490,132487,6058
2006,Manual count,0,311,105231,409,15340,9636,130927,6058
2005,Estimated using AADF from previous year on this link,0,496,111265,626,18746,10793,141926,6058
2004,Manual count,0,491,111265,601,18112,10902,141371,6058
2003,Estimated using AADF from previous year on this link,0,470,97276,447,16179,9953,124325,6058
2002,Manual count,0,416,99668,434,15708,10361,126587,6058
2001,Manual count,0,494,105043,703,15039,9929,131208,6058
2000,Manual count,0,361,98905,633,14923,11225,126047,6058
2024,Manual count,0,206,113703,148,23785,5852,143694,6059
2023,Manual count,0,176,111076,111,19617,5728,136708,6059
2022,Estimated using AADF from previous year on this link,0,167,89835,117,21412,6111,117642,6059
2021,Manual count,0,148,79257,101,18822,6025,104353,6059
2020,Automatic counter,0,201,74734,130,16845,6191,98100,6059
2019,Manual count,0,347,111137,232,19504,6565,137785,6059
2018,Automatic counter,0,274,97754,125,16038,6444,120635,6059
2017,Manual count,0,294,104728,132,16505,6714,128373,6059
2016,Manual count,0,329,95078,148,16837,6549,118942,6059
2015,Manual count,0,355,105588,162,16036,6946,129087,6059
2014,Manual count,0,324,105165,168,13996,6417,126070,6059
2013,Manual count,0,256,103964,150,14999,7038,126407,6059
2012,Manual count,0,386,104578,125,15083,6104,126275,6059
2011,Manual count,0,336,104041,138,14822,6498,125835,6059
2010,Manual count,0,394,101218,261,13165,8515,123553,6059
2009,Manual count,0,398,92797,394,14023,7259,114871,6059
2008,Manual count,0,273,103069,373,13574,7863,125152,6059
2007,Estimated using AADF from previous year on this link,0,368,103518,603,15524,7491,127504,6059
2006,Manual count,0,357,102798,533,14659,7594,125941,6059
2005,Estimated using AADF from previous year on this link,0,358,93892,158,14044,8445,116897,6059
2004,Estimated using AADF from previous year on this link,0,355,93892,152,13570,8485,116454,6059
2003,Estimated using AADF from previous year on this link,0,399,91335,255,12313,8022,112324,6059
2002,Manual count,0,353,93581,247,11955,8348,114484,6059
2001,Manual count,0,329,87765,350,12970,7664,109078,6059
2000,Manual count,0,351,81836,367,11286,8546,102386,6059
2024,Automatic counter,0,194,85183,154,23250,6173,114953,6061
2023,Estimated using AADF from previous year on this link,0,189,82395,149,21798,5880,110411,6061
2022,Automatic counter,0,195,80169,142,21107,5952,107565,6061
2021,Manual count,0,185,75583,132,19829,6265,101994,6061
2020,Automatic counter,0,158,60228,97,18475,6480,85439,6061
2019,Manual count,0,272,89075,172,21271,6843,117634,6061
2018,Automatic counter,0,280,84669,123,18642,6193,109907,6061
2017,Estimated using AADF from previous year on this link,0,315,95569,137,20222,6813,123057,6061
2016,Manual count,0,340,95672,140,18651,6494,121297,6061
2015,Manual count,0,252,81510,179,16213,6818,104973,6061
2014,Manual count,0,292,85558,223,16141,6298,108511,6061
2013,Manual count,0,339,78371,184,14248,5892,99034,6061
2012,Manual count,0,350,78536,175,15001,6246,100308,6061
2011,Manual count,0,314,82404,172,15462,6782,105134,6061
2010,Manual count,0,336,83763,156,13297,9575,107127,6061
2009,Manual count,0,485,98137,220,16730,9384,124956,6061
2008,Manual count,0,347,82373,174,15075,9630,107599,6061
2007,Estimated using AADF from previous year on this link,0,296,86671,424,15518,8499,111408,6061
2006,Manual count,0,288,86069,374,14654,8652,110037,6061
2005,Estimated using AADF from previous year on this link,0,259,81172,139,15496,8085,105151,6061
2004,Estimated using AADF from previous year on this link,0,257,81172,134,14972,8125,104660,6061
2003,Estimated using AADF from previous year on this link,0,288,78962,223,13586,7648,100707,6061
2002,Manual count,0,255,80903,217,13190,7935,102500,6061
2001,Estimated using AADF from previous year on this link,0,180,34001,158,5608,2770,42717,6061
2000,Manual count,0,178,33010,154,5306,2752,41400,6061
2024,Estimated using AADF from previous year on this link,0,96,42025,103,8532,3144,53900,6063
2023,Manual count,0,97,42097,103,8285,3107,53689,6063
2022,Estimated using AADF from previous year on this link,0,79,48162,55,11758,2827,62881,6063
2021,Manual count,0,70,42491,48,10336,2780,55725,6063
2020,Estimated using AADF from previous year on this link,0,91,33358,82,7683,2507,43721,6063
2019,Manual count,0,163,51632,153,9257,2798,64003,6063
2018,Estimated using AADF from previous year on this link,0,152,51575,162,9780,2786,64455,6063
2017,Manual count,0,152,52019,161,9480,2738,64550,6063
2016,Estimated using AADF from previous year on this link,0,152,35258,115,9747,2282,47554,6063
2015,Estimated using AADF from previous year on this link,0,150,34972,117,9178,2230,46649,6063
2014,Estimated using AADF from previous year on this link,0,154,34880,127,8248,2133,45542,6063
2013,Manual count,0,156,34580,120,7515,2148,44518,6063
2012,Estimated using AADF from previous year on this link,0,147,40536,177,7821,2168,50849,6063
2011,Manual count,0,161,41298,168,7629,2207,51463,6063
2010,Estimated using AADF from previous year on this link,0,262,41244,227,8091,2588,52412,6063
2009,Estimated using AADF from previous year on this link,0,280,42000,200,8011,2598,53089,6063
2008,Manual count,0,290,42382,186,7869,2803,53530,6063
2007,Estimated using AADF from previous year on this link,0,230,39153,241,8623,2724,50971,6063
2006,Manual count,0,223,38881,213,8143,2770,50230,6063
2005,Estimated using AADF from previous year on this link,0,213,40363,173,7754,2920,51423,6063
2004,Manual count,0,211,40363,166,7492,2973,51205,6063
2003,Estimated using AADF from previous year on this link,0,197,39573,179,7105,2744,49798,6063
2002,Manual count,0,174,40547,174,6898,2871,50664,6063
2001,Manual count,0,16,39481,186,6488,2719,48890,6063
2000,Manual count,0,242,40973,151,6848,2895,51109,6063
2024,Manual count,0,92,36913,66,9757,6193,53021,6065
2023,Estimated using AADF from previous year on this link,0,72,35681,72,8623,5832,50279,6065
2022,Manual count,0,74,34717,69,8350,5920,49129,6065
2021,Estimated using AADF from previous year on this link,0,65,29761,23,8743,6502,45094,6065
2020,Manual count,0,64,26033,23,7480,5943,39542,6065
2019,Estimated using AADF from previous year on this link,0,84,33004,119,7008,6269,46483,6065
2018,Estimated using AADF from previous year on this link,0,87,32505,119,7013,6238,45962,6065
2017,Manual count,0,88,32785,118,6798,6146,45935,6065
2016,Estimated using AADF from previous year on this link,0,134,36562,231,4566,5361,46855,6065
2015,Estimated using AADF from previous year on this link,0,133,36266,236,4300,5259,46193,6065
2014,Estimated using AADF from previous year on this link,0,120,36343,247,4020,5227,45956,6065
2013,Estimated using AADF from previous year on this link,0,112,35355,253,3546,5344,44610,6065
2012,Manual count,0,113,35377,252,3272,5243,44258,6065
2011,Estimated using AADF from previous year on this link,0,105,28528,261,6461,5115,40470,6065
2010,Estimated using AADF from previous year on this link,0,109,28758,231,6340,5326,40764,6065
2009,Estimated using AADF from previous year on this link,0,117,29893,207,6289,5399,41905,6065
2008,Manual count,0,115,30318,185,6184,5824,42626,6065
2007,Manual count,0,57,30742,167,6066,5927,42959,6065
2006,Manual count,0,98,32637,171,5663,6220,44789,6065
2005,Manual count,0,150,36227,314,5836,6244,48771,6065
2004,Manual count,0,95,32076,246,4867,6099,43383,6065
2003,Manual count,0,139,30074,204,4627,6309,41353,6065
2002,Manual count,0,132,31495,278,4835,6151,42891,6065
2001,Manual count,0,143,30522,221,4466,5701,41053,6065
2000,Manual count,0,75,28424,194,4388,6289,39370,6065
2024,Estimated using AADF from previous year on this link,0,167,56070,187,17629,15374,89427,6066
2023,Estimated using AADF from previous year on this link,0,169,56166,187,17119,15195,88836,6066
2022,Manual count,0,174,54649,179,16576,15510,87087,6066
2021,Manual count,0,158,45835,49,14665,15301,76006,6066
2020,Manual count,0,184,40513,18,15122,14681,70518,6066
2019,Estimated using AADF from previous year on this link,0,298,57854,233,14084,14161,86631,6066
2018,Manual count,0,308,56981,233,14095,14131,85747,6066
2017,Estimated using AADF from previous year on this link,0,180,57133,172,14038,15250,86773,6066
2016,Manual count,0,194,57195,176,12948,14692,85205,6066
2015,Estimated using AADF from previous year on this link,0,205,54010,208,12023,14251,80699,6066
2014,Manual count,0,210,53867,225,10805,13872,78979,6066
2013,Estimated using AADF from previous year on this link,0,329,51581,271,10853,13313,76347,6066
2012,Manual count,0,301,51072,258,10053,12881,74565,6066
2011,Estimated using AADF from previous year on this link,0,273,52184,421,7974,13977,74829,6066
2010,Manual count,0,279,51311,369,7630,13999,73588,6066
2009,Estimated using AADF from previous year on this link,0,327,51399,262,6831,12776,71595,6066
2008,Manual count,0,338,51866,244,6710,13860,73018,6066
2007,Manual count,0,260,46026,259,8638,12762,67945,6066
2006,Manual count,0,303,45123,412,8862,13277,67977,6066
2005,Manual count,0,204,48636,423,9667,12914,71844,6066
2004,Manual count,0,244,46878,317,8141,14037,69617,6066
2003,Manual count,0,207,44642,341,7491,12305,64986,6066
2002,Manual count,0,223,42950,280,7448,12865,63766,6066
2001,Manual count,0,179,47042,370,7084,12160,66835,6066
2000,Manual count,0,190,40107,330,6892,12043,59562,6066
2024,Estimated using AADF from previous year on this link,0,201,52267,92,13280,4001,69842,6067
2023,Manual count,0,203,52357,93,12896,3954,69502,6067
2022,Estimated using AADF from previous year on this link,0,264,53344,52,14026,3989,71674,6067
2021,Manual count,0,234,47063,45,12329,3923,63595,6067
2020,Estimated using AADF from previous year on this link,0,170,38201,57,9769,3875,52072,6067
2019,Manual count,0,305,59129,106,11770,4267,75578,6067
2018,Estimated using AADF from previous year on this link,0,361,58434,79,11574,5194,75641,6067
2017,Manual count,0,363,58936,79,11218,5110,75707,6067
2016,Estimated using AADF from previous year on this link,0,458,61086,71,12756,4446,78818,6067
2015,Manual count,0,453,60591,73,12012,4291,77419,6067
2014,Estimated using AADF from previous year on this link,0,428,60016,144,11235,4220,76043,6067
2013,Manual count,0,401,59723,141,10263,4158,74687,6067
2012,Estimated using AADF from previous year on this link,0,426,58410,224,11289,5092,75442,6067
2011,Manual count,0,446,59257,208,10462,4867,75240,6067
2010,Estimated using AADF from previous year on this link,0,428,54997,191,10333,4363,70312,6067
2009,Manual count,0,452,56177,178,9984,4406,71197,6067
2008,Estimated using AADF from previous year on this link,0,619,51155,322,11825,5850,69771,6067
2007,Estimated using AADF from previous year on this link,0,643,51567,268,11051,5906,69435,6067
2006,Estimated using AADF from previous year on this link,0,609,55808,257,10565,6012,73251,6067
2005,Estimated using AADF from previous year on this link,0,523,55641,270,9838,6017,72289,6067
2004,Manual count,0,529,56317,243,8862,6065,72016,6067
2003,Estimated using AADF from previous year on this link,0,529,60525,284,6345,5787,73470,6067
2002,Manual count,0,491,59572,241,6072,6023,72399,6067
2001,Manual count,0,627,50774,292,8200,5357,65250,6067
2000,Manual count,0,372,50463,278,7133,5011,63257,6067
2024,Estimated using AADF from previous year on this link,0,172,34986,48,7838,1734,44778,6069
2023,Estimated using AADF from previous year on this link,0,167,34464,48,7700,1750,44129,6069
2022,Estimated using AADF from previous year on this link,0,169,33828,48,7572,1784,43401,6069
2021,Estimated using AADF from previous year on this link,0,155,31671,44,6985,1723,40579,6069
2020,Estimated using AADF from previous year on this link,0,146,28747,43,6407,1605,36949,6069
2019,Estimated using AADF from previous year on this link,0,198,37846,68,7260,1826,47198,6069
2018,Manual count,0,211,37378,67,7324,1821,46801,6069
2017,Estimated using AADF from previous year on this link,0,765,41769,298,10188,4519,57538,6069
2016,Estimated using AADF from previous year on this link,0,757,42079,319,9678,4489,57322,6069
2015,Estimated using AADF from previous year on this link,0,774,41432,345,8860,4418,55828,6069
2014,Estimated using AADF from previous year on this link,0,793,41322,372,7962,4256,54706,6069
2013,Estimated using AADF from previous year on this link,0,803,40967,352,7254,4253,53628,6069
2012,Manual count,0,733,40563,335,6719,4113,52463,6069
2011,Estimated using AADF from previous year on this link,0,392,54027,367,6825,4104,65715,6069
2010,Manual count,0,400,53124,322,6531,4200,64577,6069
2009,Estimated using AADF from previous year on this link,0,550,57079,433,11402,3975,73439,6069
2008,Estimated using AADF from previous year on this link,0,570,57597,403,11201,4247,74018,6069
2007,Estimated using AADF from previous year on this link,0,539,58953,310,10938,4321,75061,6069
2006,Estimated using AADF from previous year on this link,0,523,58543,274,10329,4359,74028,6069
2005,Estimated using AADF from previous year on this link,0,430,58543,280,9818,4136,73207,6069
2004,Estimated using AADF from previous year on this link,0,426,58543,270,9487,4145,72871,6069
2003,Manual count,0,480,56949,450,8608,3858,70345,6069
2002,Estimated using AADF from previous year on this link,0,328,52658,396,10499,5002,68883,6069
2001,Estimated using AADF from previous year on this link,0,339,51982,394,9775,4839,67329,6069
2000,Estimated using AADF from previous year on this link,0,336,50468,385,9248,4707,65144,6069
2024,Manual count,186,2616,57022,423,16342,2436,78839,6071
2023,Manual count,93,2624,59883,414,16826,4094,83840,6071
2022,Estimated using AADF from previous year on this link,148,2076,68415,329,20139,5193,96151,6071
2021,Automatic counter,145,1800,66607,325,18551,4963,92246,6071
2020,Manual count,162,1440,56367,294,15884,4236,78221,6071
2019,Automatic counter,103,1675,75180,443,18058,4823,100179,6071
2018,Automatic counter,111,1599,75552,449,18201,4863,100664,6071
2017,Automatic counter,112,1574,74982,463,17684,5043,99745,6071
2016,Manual count,113,1490,73680,474,17487,5197,98328,6071
2015,Manual count,48,1882,69380,415,16351,5540,93568,6071
2014,Manual count,32,2051,57116,475,14200,6657,80499,6071
2013,Manual count,5,1045,65153,453,13336,3846,83833,6071
2012,Manual count,0,1216,59279,340,11667,5184,77686,6071
2011,Manual count,7,582,61335,409,12357,4842,79525,6071
2010,Manual count,39,1264,94693,424,11079,4665,112125,6071
2009,Estimated using AADF from previous year on this link,47,1758,55269,657,11866,5751,75301,6071
2008,Manual count,47,1809,56803,641,12246,5751,77250,6071
2007,Estimated using AADF from previous year on this link,90,1409,67972,714,10989,4450,85534,6071
2006,Estimated using AADF from previous year on this link,91,1376,68797,726,10742,4784,86425,6071
2005,Estimated using AADF from previous year on this link,70,1264,66245,664,10133,4929,83235,6071
2004,Manual count,55,1268,67597,684,10083,4896,84528,6071
2003,Manual count,21,1291,58011,369,12853,6294,78818,6071
2002,Manual count,50,1379,63412,455,10690,4547,80483,6071
2001,Manual count,31,1095,49087,346,11490,4993,67011,6071
2000,Manual count,30,1130,57030,499,11467,4188,74314,6071
2024,Estimated using AADF from previous year on this link,0,101,22032,77,5416,2165,29791,6072
2023,Manual count,0,102,22070,77,5259,2137,29645,6072
2022,Estimated using AADF from previous year on this link,0,95,18684,39,5257,2093,26167,6072
2021,Estimated using AADF from previous year on this link,0,84,16484,34,4621,2062,23285,6072
2020,Estimated using AADF from previous year on this link,0,82,14419,34,3953,1869,20358,6072
2019,Manual count,0,148,22319,64,4763,2063,29357,6072
2018,Estimated using AADF from previous year on this link,0,134,16394,32,5367,1908,23835,6072
2017,Estimated using AADF from previous year on this link,0,135,16535,32,5202,1869,23773,6072
2016,Estimated using AADF from previous year on this link,0,145,16553,33,4798,1770,23299,6072
2015,Estimated using AADF from previous year on this link,0,144,16419,34,4518,1709,22823,6072
2014,Estimated using AADF from previous year on this link,0,147,16375,36,4060,1645,22264,6072
2013,Estimated using AADF from previous year on this link,0,149,16234,34,3699,1656,21773,6072
2012,Estimated using AADF from previous year on this link,0,136,16074,33,3426,1606,21275,6072
2011,Estimated using AADF from previous year on this link,0,149,16376,31,3342,1635,21533,6072
2010,Manual count,0,152,16102,27,3198,1671,21150,6072
2009,Estimated using AADF from previous year on this link,0,93,13274,37,2741,1624,17769,6072
2008,Estimated using AADF from previous year on this link,0,96,13395,35,2693,1723,17942,6072
2007,Estimated using AADF from previous year on this link,0,91,13711,27,2631,1745,18205,6072
2006,Estimated using AADF from previous year on this link,0,89,13615,24,2484,1736,17948,6072
2005,Estimated using AADF from previous year on this link,0,73,13615,25,2361,1653,17727,6072
2004,Estimated using AADF from previous year on this link,0,72,13615,23,2282,1622,17614,6072
2003,Estimated using AADF from previous year on this link,0,81,13244,40,2070,1493,16928,6072
2002,Manual count,0,72,13570,38,2010,1511,17201,6072
2001,Estimated using AADF from previous year on this link,0,83,13888,104,2262,2158,18495,6072
2000,Estimated using AADF from previous year on this link,0,83,13484,102,2140,2092,17901,6072
2024,Estimated using AADF from previous year on this link,0,71,26955,61,10083,2484,39654,6073
2023,Estimated using AADF from previous year on this link,0,72,27001,61,9791,2457,39381,6073
2022,Estimated using AADF from previous year on this link,0,74,26271,58,9481,2483,38367,6073
2021,Automatic counter,0,66,23178,50,8334,2441,34068,6073
2020,Automatic counter,0,71,22398,56,7881,2429,32835,6073
2019,Automatic counter,0,100,27196,81,7444,2120,36941,6073
2018,Automatic counter,0,100,25746,78,7159,2024,35108,6073
2017,Automatic counter,0,99,25773,77,6887,1975,34811,6073
2016,Estimated using AADF from previous year on this link,0,107,25687,79,6322,1875,34069,6073
2015,Estimated using AADF from previous year on this link,0,105,25479,80,5953,1813,33430,6073
2014,Manual count,0,108,25411,87,5350,1750,32706,6073
2013,Estimated using AADF from previous year on this link,0,137,28432,225,5445,2924,37163,6073
2012,Estimated using AADF from previous year on this link,0,125,28151,214,5043,2837,36371,6073
2011,Estimated using AADF from previous year on this link,0,137,28680,204,4919,2898,36838,6073
2010,Manual count,0,141,28201,179,4707,2962,36190,6073
2009,Estimated using AADF from previous year on this link,0,118,29025,190,5309,1955,36597,6073
2008,Estimated using AADF from previous year on this link,0,122,29289,177,5216,2119,36923,6073
2007,Manual count,0,115,29979,136,5094,2202,37526,6073
2006,Estimated using AADF from previous year on this link,0,122,25332,80,5649,2853,34036,6073
2005,Estimated using AADF from previous year on this link,0,101,25332,82,5370,2782,33667,6073
2004,Estimated using AADF from previous year on this link,0,99,25332,80,5189,2822,33522,6073
2003,Manual count,0,112,24642,133,4708,2680,32275,6073
2002,Estimated using AADF from previous year on this link,0,100,27896,146,5089,3105,36336,6073
2001,Estimated using AADF from previous year on this link,0,103,27538,146,4739,3044,35570,6073
2000,Manual count,0,102,26736,143,4483,3026,34490,6073
2024,Estimated using AADF from previous year on this link,3125,2165,17606,1227,5255,1019,27272,6075
2023,Estimated using AADF from previous year on this link,2796,2070,17710,1215,5226,1024,27245,6075
2022,Manual count,2727,2041,17747,1205,5135,1037,27164,6075
2021,Estimated using AADF from previous year on this link,2050,1619,19670,1049,5701,805,28844,6075
2020,Estimated using AADF from previous year on this link,2295,1419,18232,1040,5347,756,26795,6075
2019,Estimated using AADF from previous year on this link,1855,1863,24052,1248,6134,871,34167,6075
2018,Estimated using AADF from previous year on this link,1979,1766,23989,1256,6136,873,34020,6075
2017,Manual count,2004,1752,24010,1305,6013,902,33983,6075
2016,Estimated using AADF from previous year on this link,2467,1802,20853,1600,4087,1391,29733,6075
2015,Estimated using AADF from previous year on this link,2385,1679,21293,1513,3962,1342,29789,6075
2014,Estimated using AADF from previous year on this link,2359,1687,20979,1476,4038,1378,29558,6075
2013,Estimated using AADF from previous year on this link,2192,1645,20673,1517,3963,1539,29336,6075
2012,Manual count,2301,1787,20811,1436,3931,1466,29430,6075
2011,Estimated using AADF from previous year on this link,2171,1835,24427,1282,5689,1451,34684,6075
2010,Manual count,2208,1867,24774,1266,5787,1475,35169,6075
2009,Manual count,2376,2111,27362,1228,5957,1433,38091,6075
2008,Estimated using AADF from previous year on this link,1457,1878,29419,1258,7263,1688,41506,6075
